etf_code,source_date,latest_file,previous_file,code,name,shares,weight,etf_rank,is_top10,is_new,prev_shares,prev_rank,delta_shares,delta_pct
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2303,聯電,86550000,,1,True,False,86550000,1,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2327,國巨*,25098000,,2,True,False,25098000,2,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,3037,欣興,16333000,,3,True,False,15779000,3,554000,0.035109956270993094
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,3711,日月光投控,15139000,,4,True,False,14770000,4,369000,0.024983073798239674
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2330,台積電,11960000,,5,True,False,11960000,5,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,8046,南電,9231000,,6,True,False,9149000,6,82000,0.008962728167012789
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2368,金像電,8315000,,7,True,False,8315000,7,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2345,智邦,6334000,,8,True,False,6334000,8,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,6147,頎邦,6275000,,9,True,False,6275000,9,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,3017,奇鋐,5191000,,10,True,False,5191000,10,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2002,中鋼,5163000,,11,False,False,5163000,11,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,6274,台燿,5160000,,12,False,False,5160000,12,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2454,聯發科,5131000,,13,False,False,5131000,13,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2308,台達電,5052000,,14,False,False,5052000,14,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,3665,貿聯-KY,4833848,,15,False,False,4833848,15,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2383,台光電,4653000,,16,False,False,4653000,16,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,6278,台表科,4334000,,17,False,False,4334000,17,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,6191,精成科,3988000,,18,False,False,3988000,18,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,5439,高技,3528000,,19,False,False,3528000,19,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,6271,同欣電,2966000,,20,False,False,2966000,20,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,6223,旺矽,2443000,,21,False,False,2443000,21,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,6669,緯穎,2417000,,22,False,False,2417000,22,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,3653,健策,2267000,,23,False,False,2267000,23,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,8210,勤誠,2267000,,24,False,False,2267000,24,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2449,京元電子,1886000,,25,False,False,1886000,25,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,6805,富世達,1811000,,26,False,False,1811000,26,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,3376,新日興,1741000,,27,False,False,1741000,27,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,3264,欣銓,1508000,,28,False,False,1508000,28,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,6187,萬潤,1334000,,29,False,False,1334000,29,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,1590,亞德客-KY,528000,,30,False,False,528000,30,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,5274,信驊,416900,,31,False,False,416900,31,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,6510,精測,411000,,32,False,False,411000,32,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,6515,穎崴,204000,,33,False,False,204000,33,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,4966,譜瑞-KY,140000,,34,False,False,140000,34,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,1815,富喬,107000,,35,False,False,107000,35,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,6488,環球晶,50000,,36,False,False,50000,36,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2481,強茂,5000,,37,False,False,5000,37,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,3008,大立光,1000,,38,False,False,1000,38,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2313,華通,1000,,39,False,False,1000,39,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2439,美律,1000,,40,False,False,1000,40,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2382,廣達,1000,,41,False,False,1000,41,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,2317,鴻海,1000,,42,False,False,1000,42,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,5347,世界,1000,,43,False,False,1000,43,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,4958,臻鼎-KY,1000,,44,False,False,1000,44,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,3533,嘉澤,1000,,45,False,False,1000,45,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,3661,世芯-KY,1000,,46,False,False,1000,46,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,3443,創意,1000,,47,False,False,1000,47,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,8150,南茂,1000,,48,False,False,1000,48,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,8358,金居,1000,,49,False,False,1000,49,0,0.0
00981A,20260713,00981A_holdings_20260713.csv,00981A_holdings_20260709.csv,8996,高力,1000,,50,False,False,1000,50,0,0.0
