date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,close_adj
2025-03-25,TAIEX,4993587020,256973561881,22269.37,22414.02,22228.68,22273.19,166.55,2165309,22273.19
2025-03-26,TAIEX,4406501724,223198487361,22327.61,22398.12,22235.89,22260.29,-12.9,1865861,22260.29
2025-03-27,TAIEX,5608186918,279802802176,22093.2,22093.2,21919.4,21951.76,-308.53,2531337,21951.76
2025-03-28,TAIEX,6814236162,327112874385,21836.16,21836.16,21525.05,21602.89,-348.87,3205514,21602.89
2025-03-31,TAIEX,8683910354,437475392711,21254.63,21254.63,20695.9,20695.9,-906.99,4171787,20695.9
2025-04-01,TAIEX,5826078127,278254400622,20884.53,21315.52,20884.53,21280.17,584.27,2123628,21280.17
2025-04-02,TAIEX,4985282024,240146859369,21313.77,21390.52,21235.99,21298.22,18.05,1830718,21298.22
2025-04-07,TAIEX,5683302502,166095041450,20153.57,20153.57,19212.02,19232.35,-2065.87,2477014,19232.35
2025-04-08,TAIEX,12393863553,577950957444,19064.47,19064.47,18180.48,18459.95,-772.4,4884176,18459.95
2025-04-09,TAIEX,12614257140,590040522967,18337.44,18371.52,17306.97,17391.76,-1068.19,5520314,17391.76
2025-04-10,TAIEX,5329120133,208504485334,18256.47,19024.47,18256.47,19000.03,1608.27,1540372,19000.03
2025-04-11,TAIEX,9129660662,527108374659,18772.5,19528.77,18418.2,19528.77,528.74,3900338,19528.77
2025-04-14,TAIEX,7665646173,474947203845,19686.68,20023.63,19508.93,19513.09,-15.68,3408942,19513.09
2025-04-15,TAIEX,5242983763,305561723714,19609.9,19895.43,19576.15,19857.67,344.58,2458147,19857.67
2025-04-16,TAIEX,5216346236,296550497546,19737.09,19737.09,19453.14,19468.0,-389.67,2820807,19468.0
2025-04-17,TAIEX,4599431706,257584164735,19389.52,19478.0,19196.47,19338.73,-129.27,2136607,19338.73
2025-04-18,TAIEX,3792878040,201639077744,19423.98,19499.28,19376.35,19395.03,56.3,1654025,19395.03
2025-04-21,TAIEX,4486948824,213646250942,19321.14,19359.96,19080.6,19106.2,-288.83,2116970,19106.2
2025-04-22,TAIEX,4881720763,250003984052,18990.86,19059.65,18793.43,18793.43,-312.77,2241678,18793.43
2025-04-23,TAIEX,5314940502,275548700667,19163.61,19639.14,19163.61,19639.14,845.71,2018651,19639.14
2025-04-24,TAIEX,4358134847,248994902573,19752.59,19752.59,19433.37,19478.81,-160.33,1960251,19478.81
2025-04-25,TAIEX,4961167477,298510240543,19861.24,20012.27,19861.24,19872.73,393.92,2089173,19872.73
2025-04-28,TAIEX,3948682101,222995069262,19972.07,20073.75,19972.07,20034.41,161.68,1713127,20034.41
2025-04-29,TAIEX,4654115665,250105465896,20018.32,20232.63,20007.3,20232.63,198.22,1902200,20232.63
2025-04-30,TAIEX,5103616376,282189467291,20215.39,20331.89,20185.31,20235.03,2.4,2171666,20235.03
2025-05-02,TAIEX,5955569594,339534825350,20534.08,20787.64,20534.08,20787.64,552.61,2291137,20787.64
2025-05-05,TAIEX,7760468724,396674099865,20839.04,20885.54,20320.8,20532.99,-254.65,3025910,20532.99
2025-05-06,TAIEX,5768063988,314921423075,20353.88,20623.85,20349.56,20522.59,-10.4,2166132,20522.59
2025-05-07,TAIEX,5075266647,276452299522,20575.15,20685.28,20418.03,20546.49,23.9,1955033,20546.49
2025-05-08,TAIEX,4516660206,255842394901,20559.65,20747.28,20543.4,20543.4,-3.09,1728792,20543.4
2025-05-09,TAIEX,5297103516,303145142635,20690.8,20915.04,20643.56,20915.04,371.64,2049942,20915.04
2025-05-12,TAIEX,5246162892,286880121757,20996.95,21176.13,20996.95,21129.54,214.5,2121320,21129.54
2025-05-13,TAIEX,6807098682,414876050071,21474.02,21626.28,21330.14,21330.14,200.6,2635403,21330.14
2025-05-14,TAIEX,6994105576,435325777480,21552.42,21782.87,21552.42,21782.87,452.73,2864775,21782.87
2025-05-15,TAIEX,6398847326,352701130386,21776.65,21821.01,21674.32,21730.25,-52.62,2600363,21730.25
2025-05-16,TAIEX,6558510923,349825446057,21731.88,21854.5,21697.85,21843.69,113.44,2649276,21843.69
2025-05-19,TAIEX,6118958991,336411887107,21786.33,21786.33,21496.69,21523.83,-319.86,2719210,21523.83
2025-05-20,TAIEX,5030140371,281060270227,21631.61,21746.56,21517.1,21526.03,2.2,2075396,21526.03
2025-05-21,TAIEX,5594779740,304825349622,21603.58,21879.24,21603.58,21803.91,277.88,2162177,21803.91
2025-05-22,TAIEX,5976457767,303639249474,21733.82,21733.82,21585.31,21670.96,-132.95,2324620,21670.96
2025-05-23,TAIEX,5316070068,313775509301,21766.24,21798.88,21559.78,21652.24,-18.72,2226382,21652.24
2025-05-26,TAIEX,5330804601,303248571571,21577.64,21688.45,21536.57,21536.57,-115.67,2246842,21536.57
2025-05-27,TAIEX,5893760181,319554934321,21491.65,21558.47,21310.0,21336.54,-200.03,2430710,21336.54
2025-05-28,TAIEX,5670506053,332260752364,21539.15,21634.37,21305.73,21357.72,21.18,2236035,21357.72
2025-05-29,TAIEX,7561868814,480476847321,21531.29,21605.26,21347.3,21347.3,-10.42,2329551,21347.3
2025-06-02,TAIEX,6799184355,357964491699,21253.97,21256.1,20940.98,21002.71,-344.59,2934061,21002.71
2025-06-03,TAIEX,6212282158,356029228852,21126.7,21303.21,21110.63,21126.93,124.22,2284098,21126.93
2025-06-04,TAIEX,6939766989,416698575220,21341.44,21618.09,21341.44,21618.09,491.16,2618976,21618.09
2025-06-05,TAIEX,6479408591,370407613418,21695.93,21738.93,21626.74,21674.43,56.34,2503470,21674.43
2025-06-06,TAIEX,5283685603,306326887550,21637.77,21702.46,21606.7,21660.66,-13.77,2093692,21660.66
2025-06-09,TAIEX,5424065394,307755303958,21773.45,21866.27,21717.52,21790.29,129.63,2073874,21790.29
2025-06-10,TAIEX,6797923817,402770551130,21921.24,22294.86,21921.24,22242.14,451.85,2637127,22242.14
2025-06-11,TAIEX,6677404614,411974082607,22376.37,22470.1,22294.6,22470.1,227.96,2544038,22470.1
2025-06-12,TAIEX,5845048888,350086370163,22362.67,22390.17,22253.64,22287.82,-182.28,2174517,22287.82
2025-06-13,TAIEX,6908522212,374682954150,22215.5,22228.01,21984.36,22072.95,-214.87,2556297,22072.95
2025-06-16,TAIEX,5524506597,298283417109,22058.57,22094.6,21936.38,22049.9,-23.05,1977348,22049.9
2025-06-17,TAIEX,6125208525,374245537952,22172.59,22331.69,22118.46,22211.59,161.69,2318537,22211.59
2025-06-18,TAIEX,6399812298,394797009579,22135.83,22370.25,22104.68,22356.73,145.14,2572872,22356.73
2025-06-19,TAIEX,5689009009,337907299094,22238.1,22249.4,21973.04,22003.5,-353.23,2549579,22003.5
2025-06-20,TAIEX,6862237230,463891770965,21960.51,22089.48,21779.55,22045.74,42.24,2427976,22045.74
2025-06-23,TAIEX,5617706428,314404805401,21750.7,21801.32,21551.58,21732.02,-313.72,2230655,21732.02
2025-06-24,TAIEX,7011455635,401630916668,22001.48,22201.05,22001.48,22188.76,456.74,2352155,22188.76
2025-06-25,TAIEX,6335015793,401074986062,22341.87,22444.51,22284.52,22430.61,241.85,2303648,22430.61
2025-06-26,TAIEX,6410607751,399984776279,22425.39,22587.67,22391.27,22492.34,61.73,2320884,22492.34
2025-06-27,TAIEX,6064087692,374841846059,22503.85,22580.08,22388.59,22580.08,87.74,2202173,22580.08
2025-06-30,TAIEX,5791190538,365764595737,22508.33,22558.95,22256.02,22256.02,-324.06,2137192,22256.02
2025-07-01,TAIEX,6415082209,421991169974,22419.74,22730.76,22401.58,22553.72,297.7,2419634,22553.72
