date,code,name,setup,trading_score,etf_tag,00981A_source_date,00981A_shares,00981A_weight,00981A_rank,00981A_top10,00981A_new,00981A_prev_shares,00981A_delta_shares,00981A_delta_pct,close_raw,close_adj,volume,ma5,ma20,ma20_prev,ma60,dif,macd,osc,osc_prev,osc_expanding,ret20,ret60,rs20,rs60,rs_accel,rs20_rank,rs60_rank,close_above_ma20,ma20_up,macd_bull,osc_positive,osc_improving,macd_near_cross,osc_flip_price,ma20_upturn_price
2026-09-11,8996,高力,A,63.8,Heavy Sell,20260914,485000,,28,False,False,700000,-215000,-0.30714285714285716,1330.0,1330.0,4943644.0,1288.0,1221.0,1218.5,1198.7833333333333,39.90773424780309,32.8357032021411,7.072031045661994,5.684694423662027,True,0.0390625,-0.16352201257861632,0.030902020025335153,-0.17022380911306123,0.20112582913839638,70.0,24.0,True,True,True,True,True,False,Already > 0,Already Up
2026-09-11,3653,健策,C,68.4,Heavy Buy,20260914,2512000,,22,False,False,2477000,35000,0.014129995962858296,5765.0,5765.0,671341.0,5704.0,5605.75,5560.25,4274.706941731771,182.91181185875394,258.5610562893393,-75.64924443058538,-78.85989419706743,True,0.1874356333676621,0.46299989002767905,0.17927515339299727,0.45629809349323414,-0.27702294010023687,96.0,100.0,True,True,False,False,True,True,6618.22,Already Up
2026-09-11,3443,創意,C,64.2,Heavy Buy,20260914,413000,,30,False,False,372000,41000,0.11021505376344086,6120.0,6120.0,1425347.0,6033.0,5833.5,5800.75,4898.166666666667,189.83858979015622,222.8184912291157,-32.97990143895947,-36.622436047532545,True,0.11985361390667881,0.2592592592592593,0.11169313393201397,0.2525574627248144,-0.14086432879280042,84.0,90.0,True,True,False,False,True,True,6499.44,Already Up
2026-09-11,2303,聯電,D,53.800000000000004,Neutral,20260914,89118000,,1,True,False,89118000,0,0.0,140.5,140.5,119260816.0,140.9,127.775,126.8,137.1627202351888,4.690909053504328,2.9628287992054747,1.728080254298853,2.1673417123660625,False,0.16115702479338845,-0.017838108654671503,0.1529965448187236,-0.024539905189116418,0.17753645000784002,90.0,66.0,True,True,True,True,False,False,Already > 0,Already Up
2026-09-11,6669,緯穎,D,52.60000000000001,Neutral,20260914,6490561,,9,True,False,6490561,0,0.0,2310.0,2310.0,1627022.0,2362.0,2320.8970336914062,2313.265673828125,1955.745255533854,43.807314066190884,85.59262024075835,-41.78530617456747,-36.1420779531568,False,0.07074678844202387,0.38202906205361264,0.06258630846735902,0.37532726551916773,-0.3127409570518087,76.0,96.0,False,True,False,False,False,False,,Already Up
2026-09-11,3008,大立光,D,49.400000000000006,Neutral,20260914,1000,,42,False,False,1000,0,0.0,6660.0,6660.0,1858248.0,6682.0,6470.5,6368.0,4987.555537923177,278.69483797559406,458.1673203770636,-179.47248240146956,-166.45469066567335,False,0.44468546637744044,0.2937116928102468,0.4365249864027756,0.28700989627580187,0.14951509012697373,100.0,92.0,True,True,False,False,False,False,,Already Up
2026-09-11,6805,富世達,D,48.2,Neutral,20260914,1731000,,25,False,False,1731000,0,0.0,2150.0,2150.0,991243.0,2211.0,2073.026043701172,2055.149310302734,1718.3246826171876,81.72624149239073,107.63672924461662,-25.91048775222589,-16.947004029767854,False,0.19946531828517222,0.23363815671507981,0.19130483831050737,0.2269363601806349,-0.035631521870127525,98.0,86.0,True,True,False,False,False,True,2442.4,Already Up
2026-09-11,2637,慧洋-KY,D,47.800000000000004,Neutral,20260914,1000,,41,False,False,1000,0,0.0,101.0,101.0,6754463.0,99.85999908447266,95.97999954223633,95.21499938964844,85.78666661580404,2.5484823249523743,2.541357232987986,0.007125091964388375,0.02675220142830126,False,0.17852979692634197,0.30490953499826956,0.17036931695167712,0.29820773846382465,-0.12783842151214753,94.0,94.0,True,True,True,True,False,False,Already > 0,Already Up
2026-09-11,2449,京元電子,D,46.2,Neutral,20260914,12818450,,5,True,False,12818450,0,0.0,263.0,263.0,16992490.0,269.2,255.1,254.3,268.6060078938802,4.809530175251439,4.577638248231355,0.23189192702008388,1.3829075519392582,False,0.06477732793522262,-0.10144382334799029,0.05661684796055777,-0.1081456198824352,0.16476246784299298,74.0,38.0,True,True,True,True,False,False,Already > 0,Already Up
2026-09-11,2454,聯發科,D,43.0,Neutral,20260914,5186000,,13,False,False,5186000,0,0.0,4585.0,4585.0,6841032.0,4680.0,4161.75,4143.0,3986.7174153645833,197.17436210140477,155.95017821421703,41.224183887187735,66.74904199942983,False,0.0890736342042755,0.050659481813340124,0.08091315422961065,0.04395768527889521,0.03695546895071544,82.0,82.0,True,True,True,True,False,False,Already > 0,Already Up
2026-09-11,3711,日月光投控,D,42.800000000000004,Neutral,20260914,16811000,,4,True,False,16811000,0,0.0,618.0,618.0,21540625.0,629.4,604.35,604.25,621.1943979899089,8.168661987707651,3.518014378830946,4.650647608876705,7.157082383841484,False,0.0032467532467532756,0.017371446393360968,-0.0049137267279115715,0.010669649858916053,-0.015583376586827624,50.0,76.0,True,True,True,True,False,False,Already > 0,Already Up
2026-09-11,2330,台積電,D,42.800000000000004,Neutral,20260914,11864000,,6,True,False,11864000,0,0.0,2410.0,2410.0,18149016.0,2451.0,2411.0,2410.25,2399.75,12.576214238138164,12.660694752307418,-0.08448051416925395,5.141822621183577,False,0.006263048016701411,0.0,-0.0018974319579634358,-0.006701796534444915,0.004804364576481479,52.0,70.0,False,True,False,False,False,True,2414.82,Already Up
2026-09-11,3017,奇鋐,D,41.6,Neutral,20260914,5949000,,11,False,False,5949000,0,0.0,3370.0,3370.0,2005532.0,3383.0,3234.1762451171876,3226.4723510742188,2723.961385091146,105.33588975958901,130.55700635720814,-25.22111659761913,-18.001793429986833,False,0.047910949068800335,0.4124966090818585,0.03975046909413549,0.40579481254741356,-0.3660443434532781,72.0,98.0,True,True,False,False,False,True,3659.82,Already Up
2026-09-11,6271,同欣電,D,40.8,Neutral,20260914,2222000,,23,False,False,2222000,0,0.0,220.0,220.0,2216922.0,225.8,212.425,211.125,216.11666666666667,6.068834410018638,6.737541555554651,-0.668707145536013,0.43937594951402303,False,0.134020618556701,-0.09278350515463918,0.12586013858203615,-0.0994853016890841,0.22534544027112025,88.0,42.0,True,True,False,False,False,True,227.92,Already Up
