Group,Rank,代號,股票,RS20,RS Accel,ETF Flow,評價,OSC翻正價,MA20上彎價,距離現價
A,1,3443,創意,100,+0.37,Heavy Buy,Leader,,,
A,2,3653,健策,98,+0.15,Neutral,強,,,
A,3,3037,欣興,96,+0.36,Neutral,強,,,
A,4,3008,大立光,94,-0.13,Neutral,強,,,
A,5,6805,富世達,92,+0.55,Neutral,強,,,
A,6,4979,華星光,90,+0.47,Neutral,強,,,
A,7,8358,金居,84,+0.64,Neutral,可觀察,,,
A,8,6278,台表科,78,+0.37,Neutral,一般,,,
A,9,2368,金像電,74,+0.47,Neutral,一般,,,
A,10,6271,同欣電,70,+0.42,Neutral,一般,,,
A,11,8996,高力,68,+0.12,Neutral,一般,,,
A,12,2481,強茂,64,+0.17,Neutral,一般,,,
A,13,3264,欣銓,60,+0.13,Neutral,一般,,,
A,14,2313,華通,58,+0.34,Neutral,一般,,,
A,15,8150,南茂,54,+0.18,Neutral,一般,,,
A,16,2303,聯電,50,+0.18,Neutral,一般,,,
A,17,3376,新日興,46,+0.10,Neutral,一般,,,
A,18,2449,京元電子,42,+0.18,Neutral,一般,,,
A,19,2330,台積電,26,-0.05,Neutral,一般,,,
A,20,2382,廣達,20,+0.07,Neutral,一般,,,
A,21,4966,譜瑞-KY,14,+0.20,Neutral,一般,,,
Priority1,1,3443,創意,100,+0.37,Heavy Buy,Leader,,,
Priority1,2,3653,健策,98,+0.15,Neutral,強,,,
Priority1,3,3037,欣興,96,+0.36,Neutral,強,,,
Priority2,4,3008,大立光,94,-0.13,Neutral,強,,,
Priority2,5,6805,富世達,92,+0.55,Neutral,強,,,
